frequency_hz,measured_real_ohm,measured_imag_ohm,measured_magnitude_ohm,measured_phase_deg,model_real_ohm,model_imag_ohm,model_magnitude_ohm,model_phase_deg,magnitude_error_db,phase_error_deg
359089.862787795,56.8284000448157,-955.675379854861,957.363514404213,-86.5969638670614,127.74813089057,-1073.99777527478,1081.56867846717,-83.2167458783916,1.05954459213219,3.38021798866979
362744.707761541,56.4912712286591,-946.486505355049,948.1708540892,-86.5843398846294,125.682799762001,-1063.32754999565,1070.7294918586,-83.2590502495727,1.05586327098956,3.32528963505668
366436.752035982,56.0678305075325,-936.220468104089,937.897844391841,-86.5727967722691,123.65347194145,-1052.75962575902,1059.99670317952,-83.3009320041527,1.062979536245,3.27186476811644
370166.374228536,55.494997908334,-927.913761648283,929.571752932022,-86.5774337402638,121.659495904192,-1042.29309623341,1049.36930172341,-83.3423950564078,1.05290873851594,3.235038683856
373933.956810221,55.030458972021,-919.679876668547,921.324821636618,-86.5757018727315,119.700231959004,-1031.92706072888,1038.84628516234,-83.3834432837855,1.04277038720235,3.19225858894604
377739.886144874,54.7530657966652,-910.266529310457,911.911757023144,-86.5577726816383,117.775052041874,-1021.66062423305,1028.42665951041,-83.4240805270915,1.04441022368847,3.13369215454687
381584.552528775,53.8915216667926,-900.999597087277,902.609865921594,-86.5770435581708,115.883339512881,-1011.49289744418,1018.10943908633,-83.464310590678,1.04588775304484,3.11273296749285
385468.35023067,52.6703543360054,-891.811750980402,893.365751197465,-86.6200405296105,114.024488956197,-1001.42299680154,1007.89364647502,-83.5041372426321,1.04770817070056,3.1159032869784
389391.677532202,52.4826985571086,-883.262899165739,884.820763030854,-86.5995337372071,112.197905983203,-991.450044513107,997.778312488329,-83.5435642149652,1.04357509634892,3.05596952224182
393354.936768757,51.4840400697552,-874.311683816418,875.826196707888,-86.6300166517141,110.403007038671,-981.573168580648,987.762476125022,-83.5825952038017,1.04469185320324,3.0474214479124
397358.534370723,51.7695210155047,-866.501611875717,868.046730706009,-86.580902690815,108.639219209988,-971.791502822364,977.845184529895,-83.6212338695687,1.03453991263979,2.95966882124625
401402.880905167,50.806952038756,-857.927480705322,859.430572254007,-86.6108697182264,106.905980039389,-962.104186893071,968.025492952205,-83.659483837186,1.03351991921173,2.95138588104042
405488.391117942,50.2193433949357,-849.154694791,850.63839446419,-86.6154472611344,105.202737339162,-952.510366302071,958.302464703372,-83.697348696255,1.03515247941405,2.9180985648793
409615.483976215,49.2510678125662,-841.49237889924,842.932435860775,-86.6504001307942,103.528949009802,-943.009192428764,948.675171114024,-83.7348320012487,1.02649537167463,2.91556812954551
413784.582711435,48.8209027209158,-832.962250775004,834.39174957489,-86.645664099991,101.884082861066,-933.599822536082,939.142691490406,-83.7719372717002,1.02723163941106,2.87372682829083
417996.114862734,48.234878223226,-824.72482947559,826.134158494098,-86.6528105291283,100.267616435915,-924.281419781821,929.704113070196,-83.8086679923921,1.02588345662358,2.84414253673614
422250.512320772,47.7026906596642,-816.326631949482,817.71921631215,-86.6556791325164,98.679036837294,-915.053153227945,920.35853097776,-83.8450276135445,1.02705676968392,2.81065151897184
426548.211372023,47.3440710552604,-808.462035202503,809.847098795728,-86.6485488911789,97.1178405577168,-905.914197847916,911.105048178873,-83.8810195510029,1.0233084448059,2.767529340176
430889.652743524,46.3973335578653,-801.083582226699,802.426082748088,-86.685233724686,95.5835333116365,-896.863734532154,901.942775434949,-83.916647186425,1.01547894582414,2.768586538261
435275.281648062,46.3859761352091,-793.447969722102,794.802704724979,-86.654224127593,94.0756298705505,-887.90095009165,892.870831256792,-83.9519138674676,1.01058598200314,2.70231026012536
439705.547829838,45.908685402748,-785.120411152147,786.461485009358,-86.6535296495762,92.593653900816,-879.025037259828,883.888341857922,-83.9868229079718,1.01439893543436,2.66670674160439
444180.905610583,45.8492886617106,-777.948095360367,779.298015104368,-86.627107255644,91.1371378041392,-870.235194692712,874.994441107481,-84.0213775881474,1.00603447705218,2.6057296674966
448701.813936152,45.011510022716,-769.797309740225,771.112141077945,-86.6536172547364,89.7056225607036,-861.530626967446,866.188270482765,-84.0555811547568,1.00989514643487,2.59803609997961
453268.736423586,44.7309348816858,-762.361168317054,763.672316830414,-86.6420656117967,88.2986575749051,-852.910544579245,857.468979021396,-84.0894368212972,1.00622739356292,2.5526287904995
457882.141408658,43.7145291397098,-755.634054638422,756.897472969231,-86.6890462168697,86.9158005236577,-844.374163936824,848.835723273166,-84.1229477681821,0.995731865970575,2.56609844868765
462542.501993898,43.1321359075586,-747.991670557398,749.234222637484,-86.6997551178514,85.556617207238,-835.920707356361,840.287667251582,-84.1561171429207,0.996207663634786,2.54363797493069
467250.296097111,42.7561064088834,-740.467929010273,741.701313554189,-86.6952960599492,84.2206814026321,-827.54940305405,831.823982385119,-84.188948060297,0.996047784807665,2.50634799965213
472006.00650039,42.1712280556362,-733.639193570014,734.850242442486,-86.7101302344787,82.9075747193542,-819.259485137306,823.443847468234,-84.2214436025467,0.988702943600577,2.48868663193198
476810.120899619,41.8159990690235,-726.243809074445,727.446663334914,-86.7046358031913,81.6168864577002,-811.050193594654,815.146448612134,-84.2536068195327,0.988689691762702,2.45102898365863
481663.13195449,41.2888085019743,-718.819168652651,720.004002023601,-86.7125558163757,80.3482134694041,-802.920774284371,806.930979195333,-84.285440728919,0.990029571191945,2.42711508745675
486565.537339024,40.7550221902009,-712.131537603513,713.296781629685,-86.7245567420605,79.1011600206639,-794.87047892192,798.796639814025,-84.3169483163431,0.983319296264849,2.40760842571743
491517.839792609,40.6705398556195,-705.171066898624,706.342924083685,-86.69913900651,77.8753376575035,-786.898565066223,790.742638232283,-84.3481325355864,0.980391169052935,2.35100647092356
496520.547171553,39.8086232696648,-698.493814920194,699.627283607773,-86.7381222826882,76.6703650734367,-779.004296104821,782.768189332105,-84.3789963087429,0.975328614392772,2.35912597394531
501574.172501166,39.3234341092011,-691.184957480469,692.302663520384,-86.7437939788377,75.4858679794017,-771.186941237971,774.872515063337,-84.4095425263856,0.978685082658586,2.33425145245203
506679.234028369,39.168063120011,-685.014901031284,686.133771070534,-86.7274816610682,74.3214789759324,-763.445775461706,767.054844393474,-84.4397740477315,0.968352430928531,2.28770761333667
511836.255274843,38.494480815881,-678.785848421138,679.876498395178,-86.7541878094831,73.1768374275335,-755.780079549923,759.314413257369,-84.469693700804,0.959832294607693,2.284494108679
517045.765090712,38.0267908967787,-671.572472542988,672.648216160133,-86.759172479422,72.0515893392293,-748.189140035517,751.650464506871,-84.4993042825935,0.96455870773162,2.25986819682856
522308.29770878,37.5866536440421,-664.371240558329,665.433619389019,-86.7619558801324,70.9453872352509,-740.67224919062,744.062247860386,-84.5286085592152,0.970090623472472,2.23334732091712
527624.392799314,37.039257258048,-658.528740180226,659.569562837449,-86.7807639421637,69.8578900398332,-733.22870500597,736.549019852412,-84.5576092660658,0.958820997555417,2.22315467609789
532994.595525388,36.733530022839,-651.825924694615,652.86015985962,-86.7745185682149,68.7887629600873,-725.857811169452,729.110043783027,-84.586309107976,0.959458276635699,2.18820946023882
538419.456598787,36.4825440363026,-645.593520677089,646.623514852035,-86.7656506099966,67.7376773709189,-718.558877043845,721.744589667368,-84.6147107593626,0.954640861401857,2.15093985063393
543899.532336486,36.1269276379528,-639.316483783552,640.336412628489,-86.7657310577398,66.7043107019612,-711.331217643812,714.451934185115,-84.6428168643763,0.951296353807858,2.12291419336347
549435.384717698,35.8849764261443,-632.670059227348,633.686937987395,-86.7536679913313,65.6883463264902,-704.17415361217,707.231360629975,-84.670630037048,0.953735100921883,2.08303795428333
555027.581441503,35.2541236975256,-626.697191431021,627.68799812105,-86.7802857665562,64.6894734522946,-697.087011195464,700.082158859202,-84.698152861432,0.948103707893916,2.08213290512416
560676.695985069,34.6426426867161,-620.810000919528,621.775819676211,-86.806074614324,63.707387014467,-690.069122218882,693.003625243151,-84.7253878917468,0.942033556036569,2.08068672257716
566383.30766246,34.1956697457738,-614.894651929728,615.844766805031,-86.8169320308469,62.7417875700888,-683.119824060544,685.995062614884,-84.7523376525124,0.936994692078949,2.0645943783345
572148.001684043,33.8883129158098,-608.611620027375,609.554363272568,-86.8129849648436,61.792381194778,-676.23845962519,679.055780219836,-84.7790046386856,0.937860119790733,2.03398032615805
577971.369216502,33.4212910622214,-602.59176510184,603.517868886097,-86.8254808998128,60.8588793810712,-669.4243773173,672.185093665557,-84.8053913157916,0.935974883787852,2.0200895840212
583854.007443464,33.2065572929678,-596.75337047738,597.676551843357,-86.8150402108846,59.9409989386102,-662.676931013674,665.382324871544,-84.8315001200529,0.932100845957305,1.98354009083168
589796.519626737,32.7787968022401,-590.757939654716,591.666623010701,-86.824142702513,59.0384618961049,-655.995480035492,658.64680201915,-84.8573334585155,0.931510337461481,1.9668092439975
595799.515168174,32.7955471994806,-585.041750725501,585.960235859118,-86.7915419238314,58.1509954050445,-649.379389119887,651.977859501621,-84.8828937091707,0.927294052900602,1.9086482146607
601863.609672172,32.0340595544867,-579.066076600233,579.951465245781,-86.8336126162066,57.2783316451274,-642.828028391063,645.374837874231,-84.9081832210753,0.928407578811734,1.92542939513129
607989.425008794,31.247802565515,-573.628854303843,574.479318735769,-86.8819569945571,56.4202077313846,-636.340773330963,638.837083804549,-84.9332043144667,0.922314396545659,1.94875268009038
614177.589377548,31.1365045935139,-567.975333099132,568.82814709486,-86.8621763996834,55.5763656229664,-629.917004749532,632.363950022833,-84.9579592808764,0.919720506284456,1.90421711880697
620428.737371804,30.8801181326851,-562.513372061414,563.360342448589,-86.8578057229089,54.7465520335676,-623.556108754588,625.954795272572,-84.9824503832384,0.915133981488216,1.87535533967052
626743.510043878,30.6727558255443,-556.886751467148,557.730823883319,-86.84739218484,53.9305183434628,-617.257476721312,619.608984261167,-85.0066798559949,0.913861184449652,1.84071232884512
633122.554970761,30.3244591847846,-551.480376229607,552.313478190781,-86.8526249820624,53.1280205131265,-611.020505261413,613.325887610784,-85.0306499051985,0.910113090337162,1.82197507686389
639566.526320539,30.1198262856322,-546.080624311577,546.910643692367,-86.8429715181164,52.3388189984112,-604.844596191945,607.10488180935,-85.0543627086099,0.906946992674625,1.78860880950654
646076.084919468,29.545833211695,-540.564104545539,541.37095173577,-86.8714741019283,51.562678667258,-598.729156503832,600.945349161746,-85.0778204157926,0.906800584971035,1.79365368613574
652651.89831975,29.3515889817163,-535.484843458838,536.288666065103,-86.8625797928438,50.7993687179144,-592.673598330101,594.846677741154,-85.1010251482032,0.900128433844374,1.7615546446406
