frequency_Hz,LT_I_HOT_abs_A,LT_I_RTN_abs_A,LT_I_NM_abs_A,PY_I_HOT_abs_A,PY_I_RTN_abs_A,PY_I_NM_abs_A,LT_I_HOT_dBuA,LT_I_RTN_dBuA,LT_I_NM_dBuA,PY_I_HOT_dBuA,PY_I_RTN_dBuA,PY_I_NM_dBuA,error_NM_PY_minus_LT_dB,LT_I_NM_phase_deg,PY_I_NM_phase_deg
175.79236139586982,0.9879883485237032,0.9879883485237181,0.9879883485237105,0.9879883485237021,0.9879883485237021,0.9879883485237021,119.8950364585198,119.89503645851991,119.89503645851984,119.89503645851977,119.89503645851977,119.89503645851977,-7.105427357601002e-14,-0.47770752880356976,-0.4777075288041917
177.82794100389287,0.9879966249754176,0.9879966249754248,0.9879966249754212,0.9879966249754186,0.9879966249754186,0.9879966249754186,119.89510922055709,119.89510922055716,119.89510922055713,119.89510922055712,119.89510922055712,119.89510922055712,-1.4210854715202004e-14,-0.4832446884754108,-0.48324468847560365
179.8870915128794,0.9880050943055747,0.988005094305618,0.9880050943055965,0.9880050943055732,0.9880050943055732,0.9880050943055732,119.89518367764519,119.89518367764559,119.89518367764539,119.89518367764519,119.89518367764519,119.89518367764519,-1.9895196601282805e-13,-0.4888461611454439,-0.48884616114709434
181.97008586099898,0.9880137610113624,0.988013761011371,0.9880137610113667,0.9880137610113641,0.9880137610113641,0.9880137610113641,119.89525986927646,119.89525986927654,119.89525986927652,119.89525986927647,119.89525986927647,119.89525986927647,-4.263256414560601e-14,-0.49451269840962786,-0.49451269841002415
184.07720014689625,0.9880226296949565,0.9880226296950028,0.9880226296949794,0.9880226296949562,0.9880226296949562,0.9880226296949562,119.89533783586381,119.89533783586423,119.89533783586403,119.89533783586381,119.89533783586381,119.89533783586381,-2.1316282072803006e-13,-0.5002450607990631,-0.5002450608008321
186.20871366628742,0.9880317050659336,0.9880317050659856,0.9880317050659597,0.9880317050659326,0.9880317050659326,0.9880317050659326,119.89541761876184,119.89541761876228,119.89541761876205,119.89541761876183,119.89541761876183,119.89541761876183,-2.2737367544323206e-13,-0.5060440179110113,-0.5060440179131958
188.36490894898074,0.988040991943809,0.9880409919437958,0.9880409919438022,0.9880409919438083,0.9880409919438083,0.9880409919438083,119.89549926028893,119.8954992602888,119.89549926028886,119.89549926028891,119.89549926028891,119.89549926028891,5.684341886080802e-14,-0.5119103485121378,-0.5119103485117105
190.54607179632544,0.9880504952606027,0.9880504952605823,0.9880504952605924,0.9880504952606028,0.9880504952606028,0.9880504952606028,119.89558280374973,119.89558280374956,119.89558280374965,119.89558280374973,119.89558280374973,119.89558280374973,8.526512829121202e-14,-0.5178448406480644,-0.5178448406471771
192.75249131909433,0.9880602200634703,0.9880602200634615,0.9880602200634657,0.9880602200634708,0.9880602200634708,0.9880602200634708,119.89566829345819,119.89566829345812,119.89566829345816,119.89566829345819,119.89566829345819,119.89566829345819,2.842170943040401e-14,-0.5238482917740348,-0.5238482917736454
194.9844599758053,0.9880701715173963,0.9880701715174597,0.988070171517428,0.9880701715173958,0.9880701715173958,0.9880701715173958,119.89575577476096,119.89575577476151,119.89575577476123,119.89575577476094,119.89575577476094,119.89575577476094,-2.8421709430404007e-13,-0.5299215088643944,-0.5299215088670441
197.24227361148616,0.98808035490795,0.9880803549079952,0.9880803549079726,0.9880803549079491,0.9880803549079491,0.9880803549079491,119.89584529406153,119.89584529406194,119.89584529406173,119.89584529406153,119.89584529406153,119.89584529406153,-1.9895196601282805e-13,-0.5360653085436506,-0.5360653085455959
199.52623149688876,0.988090775644111,0.9880907756441009,0.9880907756441059,0.9880907756441097,0.9880907756441097,0.9880907756441097,119.895936898845,119.8959368988449,119.89593689884495,119.895936898845,119.895936898845,119.895936898845,4.263256414560601e-14,-0.5422805171923567,-0.5422805171919378
201.83663636815692,0.9881014392611537,0.9881014392611458,0.9881014392611497,0.988101439261154,0.988101439261154,0.988101439261154,119.89603063770306,119.896030637703,119.89603063770303,119.89603063770306,119.89603063770306,119.89603063770306,2.842170943040401e-14,-0.5485679710774655,-0.5485679710770878
204.17379446695375,0.9881123514236136,0.9881123514236164,0.9881123514236151,0.9881123514236108,0.9881123514236108,0.9881123514236108,119.8961265603601,119.89612656036013,119.89612656036013,119.89612656036009,119.89612656036009,119.89612656036009,-4.263256414560601e-14,-0.5549285164860822,-0.5549285164861746
206.5380155810538,0.9881235179282891,0.9881235179283178,0.9881235179283034,0.9881235179282885,0.9881235179282885,0.9881235179282885,119.89622471769927,119.89622471769954,119.89622471769941,119.89622471769927,119.89622471769927,119.89622471769927,-1.4210854715202004e-13,-0.5613630098447561,-0.5613630098459919
208.92961308540487,0.988134944707372,0.9881349447074332,0.9881349447074026,0.9881349447073704,0.9881349447073704,0.9881349447073704,119.89632516178987,119.89632516179041,119.89632516179014,119.89632516178986,119.89632516178986,119.89632516178986,-2.8421709430404007e-13,-0.5678723178517391,-0.5678723178545537
211.34890398366562,0.9881466378315877,0.9881466378316066,0.9881466378315973,0.9881466378315868,0.9881466378315868,0.9881466378315868,119.89642794591474,119.8964279459149,119.89642794591481,119.89642794591472,119.89642794591472,119.89642794591472,-8.526512829121202e-14,-0.5744573176116554,-0.5744573176124379
213.79620895022416,0.9881586035134561,0.9881586035134506,0.9881586035134534,0.9881586035134572,0.9881586035134572,0.9881586035134572,119.89653312459865,119.89653312459859,119.89653312459863,119.89653312459866,119.89653312459866,119.89653312459866,2.842170943040401e-14,-0.5811188967565128,-0.581118896756241
216.27185237270302,0.9881708481106141,0.9881708481105708,0.9881708481105924,0.9881708481106133,0.9881708481106133,0.9881708481106133,119.89664075363741,119.89664075363703,119.89664075363721,119.8966407536374,119.8966407536374,119.8966407536374,1.8474111129762605e-13,-0.5878579535958505,-0.5878579535938604
218.77616239495623,0.9881833781291953,0.988183378129212,0.9881833781292038,0.9881833781291952,0.9881833781291952,0.9881833781291952,119.89675089012722,119.89675089012738,119.89675089012732,119.89675089012722,119.89675089012722,119.89675089012722,-9.947598300641403e-14,-0.5946753972412736,-0.594675397241992
221.3094709605648,0.9881962002273327,0.9881962002272904,0.9881962002273117,0.9881962002273332,0.9881962002273332,0.9881962002273332,119.89686359249531,119.89686359249492,119.89686359249512,119.89686359249532,119.89686359249532,119.89686359249532,1.9895196601282805e-13,-0.6015721477675056,-0.6015721477655219
223.872113856835,0.9882093212187099,0.9882093212187412,0.9882093212187256,0.9882093212187085,0.9882093212187085,0.9882093212187085,119.89697892053078,119.89697892053107,119.89697892053093,119.89697892053078,119.89697892053078,119.89697892053078,-1.4210854715202004e-13,-0.6085491363176102,-0.6085491363192318
226.46443075930702,0.9882227480761959,0.9882227480762376,0.9882227480762167,0.9882227480761966,0.9882227480761966,0.9882227480761966,119.89709693541641,119.89709693541678,119.89709693541661,119.89709693541643,119.89709693541643,119.89709693541643,-1.8474111129762605e-13,-0.6156073052896388,-0.6156073052915506
229.08676527677838,0.9882364879355988,0.9882364879356187,0.9882364879356088,0.9882364879355997,0.9882364879355997,0.9882364879355997,119.8972176997613,119.89721769976148,119.8972176997614,119.89721769976131,119.89721769976131,119.89721769976131,-8.526512829121202e-14,-0.6227476084495465,-0.6227476084504725
231.739464996849,0.9882505480994662,0.9882505480994979,0.988250548099482,0.9882505480994662,0.9882505480994662,0.9882505480994662,119.89734127763398,119.89734127763427,119.89734127763413,119.89734127763398,119.89734127763398,119.89734127763398,-1.4210854715202004e-13,-0.6299710110903732,-0.629971011091894
