frequency_Hz,I_HOT_abs_A,I_RTN_abs_A,I_NM_abs_A,I_HOT_dBuA,I_RTN_dBuA,I_NM_dBuA,I_HOT_real_A,I_HOT_imag_A,I_RTN_real_A,I_RTN_imag_A,I_NM_real_A,I_NM_imag_A,I_HOT_phase_deg,I_RTN_phase_deg,I_NM_phase_deg
1.479108388168207284e+02,9.878845837966789833e-01,9.878845837966789833e-01,9.878845837966789833e-01,1.198941241640565636e+02,1.198941241640565636e+02,1.198941241640565636e+02,9.878602825880469229e-01,-6.929140509582305471e-03,-9.878602825880469229e-01,6.929140509582305471e-03,9.878602825880469229e-01,-6.929140509582305471e-03,-4.018827389165324782e-01,1.795981172610834733e+02,-4.018827389165324782e-01
1.496235656094432898e+02,9.878904422507945871e-01,9.878904422507945871e-01,9.878904422507945871e-01,1.198941756738542210e+02,1.198941756738542210e+02,1.198941756738542210e+02,9.878655744435709263e-01,-7.009473571122985282e-03,-9.878655744435709263e-01,7.009473571122985282e-03,9.878655744435709263e-01,-7.009473571122985282e-03,-4.065396373720370216e-01,1.795934603626279795e+02,-4.065396373720370216e-01
1.513561248436208757e+02,9.878964372135011773e-01,9.878964372135011773e-01,9.878964372135011773e-01,1.198942283835720559e+02,1.198942283835720559e+02,1.198942283835720559e+02,9.878709895839407062e-01,-7.090740269854343622e-03,-9.878709895839407062e-01,7.090740269854343622e-03,9.878709895839407062e-01,-7.090740269854343622e-03,-4.112505767191811934e-01,1.795887494232808308e+02,-4.112505767191811934e-01
1.531087461682030266e+02,9.879025718667380218e-01,9.879025718667380218e-01,9.879025718667380218e-01,1.198942823211646385e+02,1.198942823211646385e+02,1.198942823211646385e+02,9.878765308818507895e-01,-7.172951537205585031e-03,-9.878765308818507895e-01,7.172951537205585031e-03,9.878765308818507895e-01,-7.172951537205585031e-03,-4.160161868195026980e-01,1.795839838131805095e+02,-4.160161868195026980e-01
1.548816618912481147e+02,9.879088494666675713e-01,9.879088494666675713e-01,9.879088494666675713e-01,1.198943375152379076e+02,1.198943375152379076e+02,1.198943375152379076e+02,9.878822012769568062e-01,-7.256118435423497375e-03,-9.878822012769568062e-01,7.256118435423497375e-03,9.878822012769568062e-01,-7.256118435423497375e-03,-4.208371049721256196e-01,1.795791628950278778e+02,-4.208371049721256196e-01
1.566751070108148554e+02,9.879152733454096280e-01,9.879152733454096280e-01,9.879152733454096280e-01,1.198943939950643767e+02,1.198943939950643767e+02,1.198943939950643767e+02,9.878880037774394607e-01,-7.340252159235275374e-03,-9.878880037774394607e-01,7.340252159235275374e-03,9.878880037774394607e-01,-7.340252159235275374e-03,-4.257139760048845312e-01,1.795742860239951142e+02,-4.257139760048845312e-01
1.584893192461114211e+02,9.879218469128160374e-01,9.879218469128160374e-01,9.879218469128160374e-01,1.198944517905986800e+02,1.198944517905986800e+02,1.198944517905986800e+02,9.878939414616023651e-01,-7.425364037538179432e-03,-9.878939414616023651e-01,7.425364037538179432e-03,9.878939414616023651e-01,-7.425364037538179432e-03,-4.306474523668178955e-01,1.795693525476331729e+02,-4.306474523668178955e-01
1.603245390690041745e+02,9.879285736582840149e-01,9.879285736582840149e-01,9.879285736582840149e-01,1.198945109324933611e+02,1.198945109324933611e+02,1.198945109324933611e+02,9.879000174795050659e-01,-7.511465535112490932e-03,-9.879000174795050659e-01,7.511465535112490932e-03,9.879000174795050659e-01,-7.511465535112490932e-03,-4.356381942218188752e-01,1.795643618057781907e+02,-4.356381942218188752e-01
1.621810097358929852e+02,9.879354571526168804e-01,9.879354571526168804e-01,9.879354571526168804e-01,1.198945714521153292e+02,1.198945714521153292e+02,1.198945714521153292e+02,9.879062350546401472e-01,-7.598568254360568187e-03,-9.879062350546401472e-01,7.598568254360568187e-03,9.879062350546401472e-01,-7.598568254360568187e-03,-4.406868695435955385e-01,1.795593131304564167e+02,-4.406868695435955385e-01
1.640589773199538683e+02,9.879425010499277571e-01,9.879425010499277571e-01,9.879425010499277571e-01,1.198946333815623575e+02,1.198946333815623575e+02,1.198946333815623575e+02,9.879125974856470815e-01,-7.686683937070831231e-03,-9.879125974856470815e-01,7.686683937070831231e-03,9.879125974856470815e-01,-7.686683937070831231e-03,-4.457941542118687983e-01,1.795542058457881183e+02,-4.457941542118687983e-01
1.659586907437561365e+02,9.879497090895825728e-01,9.879497090895825728e-01,9.879497090895825728e-01,1.198946967536801509e+02,1.198946967536801509e+02,1.198946967536801509e+02,9.879191081480617198e-01,-7.775824466211653241e-03,-9.879191081480617198e-01,7.775824466211653241e-03,9.879191081480617198e-01,-7.775824466211653241e-03,-4.509607321100912447e-01,1.795490392678899241e+02,-4.509607321100912447e-01
1.678804018122560535e+02,9.879570850981959085e-01,9.879570850981959085e-01,9.879570850981959085e-01,1.198947616020798534e+02,1.198947616020798534e+02,1.198947616020798534e+02,9.879257704961139641e-01,-7.866001867747668061e-03,-9.879257704961139641e-01,7.866001867747668061e-03,9.879257704961139641e-01,-7.866001867747668061e-03,-4.561872952242375656e-01,1.795438127047757746e+02,-4.561872952242375656e-01
1.698243652461744375e+02,9.879646329916667025e-01,9.879646329916667025e-01,9.879646329916667025e-01,1.198948279611558121e+02,1.198948279611558121e+02,1.198948279611558121e+02,9.879325880645610791e-01,-7.957228312486078897e-03,-9.879325880645610791e-01,7.957228312486078897e-03,9.879325880645610791e-01,-7.957228312486078897e-03,-4.614745437431073127e-01,1.795385254562569060e+02,-4.614745437431073127e-01
1.717908387157587526e+02,9.879723567772706883e-01,9.879723567772706883e-01,9.879723567772706883e-01,1.198948958661038944e+02,1.198948958661038944e+02,1.198948958661038944e+02,9.879395644705710744e-01,-8.049516117952177155e-03,-9.879395644705710744e-01,8.049516117952177155e-03,9.879395644705710744e-01,-8.049516117952177155e-03,-4.668231861600776744e-01,1.795331768138399298e+02,-4.668231861600776744e-01
