harmonic_n,frequency_Hz,dm_source_rms_A,cm_source_total_rms_A,dm_transfer_abs,cm_transfer_abs,dm_at_LDM1_rms_A,cm_at_LDM1_rms_A,dm_at_LDM1_dBuA,cm_at_LDM1_dBuA,ce03_limit_dBuA,dm_margin_dB,cm_margin_dB
4.100000000000000000e+01,5.125000000000000000e+06,9.831382460840238854e-03,1.966276492168047999e-04,4.056347410177302441e-10,7.960512323557758160e-03,3.987950278349185581e-12,1.565256824742566622e-06,-1.079850053019578695e+02,3.891712120940884034e+00,2.000000000000000000e+01,1.279850053019578695e+02,1.610828787905911597e+01
4.200000000000000000e+01,5.250000000000000000e+06,9.362088836205847041e-18,1.872417767241169408e-19,3.844176956586959898e-10,9.993024488346451475e-03,3.598952616966254638e-27,1.871111660045599068e-21,-4.088764774227381622e+02,-2.945580058973040991e+02,2.000000000000000000e+01,4.288764774227381622e+02,3.145580058973040991e+02
4.300000000000000000e+01,5.375000000000000000e+06,9.268604670310013824e-03,1.853720934062002819e-04,3.631738670315391956e-10,1.376355816258334822e-02,3.366115000103072178e-12,2.551379589316070567e-06,-1.094574210170135871e+02,8.135501538181335590e+00,2.000000000000000000e+01,1.294574210170135871e+02,1.186449846181866441e+01
4.400000000000000000e+01,5.500000000000000000e+06,8.824416060811797769e-17,1.764883212162359323e-18,3.420566298614899368e-10,2.316827984755964395e-02,3.018450018256888411e-26,4.088930815763752327e-20,-3.904043202224480069e+02,-2.677678047519175379e+02,2.000000000000000000e+01,4.104043202224480069e+02,2.877678047519175379e+02
4.500000000000000000e+01,5.625000000000000000e+06,8.751763525896816623e-03,1.750352705179363194e-04,3.211926916538829530e-10,8.816832064822140158e-02,2.811002483601075559e-12,1.543256585577358478e-05,-1.110227754136159319e+02,2.376876277837574492e+01,2.000000000000000000e+01,1.310227754136159319e+02,-3.768762778375744915e+00
4.600000000000000000e+01,5.750000000000000000e+06,5.419548980842425067e-17,1.083909796168484998e-18,3.006859779849454832e-10,4.329965820627940110e-02,1.629582385541919139e-26,4.693292370053337255e-20,-3.957584735670416762e+02,-2.665704478088002247e+02,2.000000000000000000e+01,4.157584735670416762e+02,2.865704478088002247e+02
4.700000000000000000e+01,5.875000000000000000e+06,8.275086333101203812e-03,1.655017266620240914e-04,2.806209916357243537e-10,1.653257718673061677e-02,2.322162932666089738e-12,2.736170070577105793e-06,-1.126821462322132419e+02,8.742861761675493781e+00,2.000000000000000000e+01,1.326821462322132561e+02,1.125713823832450622e+01
4.800000000000000000e+01,6.000000000000000000e+06,2.366096746488629462e-17,4.732193492977259040e-19,2.610657077193030191e-10,9.878141451066194817e-03,6.177067216543943277e-27,4.674527669744438413e-21,-4.041843534561171509e+02,-2.866052453034733958e+02,2.000000000000000000e+01,4.241843534561171509e+02,3.066052453034733958e+02
4.900000000000000000e+01,6.125000000000000000e+06,7.833746089176229707e-03,1.566749217835246028e-04,2.420740629177842929e-10,6.858104843187402128e-03,1.896346743673193403e-12,1.074493039889597512e-06,-1.144416449950686712e+02,6.240721332206019545e-01,2.000000000000000000e+01,1.344416449950686570e+02,1.937592786677939927e+01
5.000000000000000000e+01,6.250000000000000000e+06,3.744627368276450311e-18,7.489254736552899852e-20,2.236880917728947346e-10,5.133514378165753532e-03,8.376285504103159749e-28,3.844619687184028374e-22,-4.215389705646372818e+02,-3.083029322898198643e+02,2.000000000000000000e+01,4.415389705646372818e+02,3.283029322898198643e+02
5.100000000000000000e+01,6.375000000000000000e+06,7.423675957912796199e-03,1.484735191582559489e-04,2.059397574173352345e-10,4.017882093215575413e-03,1.528830025917464947e-12,5.965490939426562141e-07,-1.163128159282417187e+02,-4.487076191556459648e+00,2.000000000000000000e+01,1.363128159282417187e+02,2.448707619155646142e+01
5.200000000000000000e+01,6.500000000000000000e+06,2.834845945599739757e-17,5.669691891199480824e-19,1.888525186378493800e-10,3.236908709021570768e-03,5.353677967768065908e-27,1.835227506009257878e-21,-4.054269551173244963e+02,-2.947262018055680528e+02,2.000000000000000000e+01,4.254269551173244963e+02,3.147262018055680528e+02
5.300000000000000000e+01,6.625000000000000000e+06,7.041425747075229398e-03,1.408285149415045988e-04,1.724426699732016531e-10,2.659489447234417159e-03,1.214242256243698578e-12,3.745319493566259462e-07,-1.183138931506559430e+02,-8.530222579987430720e+00,2.000000000000000000e+01,1.383138931506559288e+02,2.853022257998743072e+01
