frequency_Hz,LT_I_HOT_abs_A,LT_I_RTN_abs_A,LT_I_CM_abs_A,PY_I_HOT_abs_A,PY_I_RTN_abs_A,PY_I_CM_abs_A,LT_I_HOT_dBuA,LT_I_RTN_dBuA,LT_I_CM_dBuA,PY_I_HOT_dBuA,PY_I_RTN_dBuA,PY_I_CM_dBuA,error_CM_PY_minus_LT_dB,error_HOT_PY_minus_LT_dB,error_RTN_PY_minus_LT_dB,LT_I_CM_phase_deg,PY_I_CM_phase_deg
181.97008586099898,0.49989879183686414,0.49989879183754626,0.9997975836744104,0.499898791836419,0.499898791836419,0.999797583672838,113.97764174288469,113.97764174289654,119.99824165617022,113.97764174287694,113.97764174287694,119.99824165615657,-1.3656631381309126e-11,-7.744915819785092e-12,-1.9596768652263563e-11,-2.593602049691139e-05,-2.5935735661119666e-05
184.07720014689625,0.4998989960392306,0.4998989960383211,0.9997979920775517,0.4998989960390922,0.4998989960390922,0.9997979920781844,113.97764529096058,113.97764529094479,119.9982452042323,113.97764529095818,113.97764529095818,119.9982452042378,5.4996007747831754e-12,-2.4016344468691386e-12,1.3386625141720288e-11,-2.623763423449134e-05,-2.62360692608761e-05
186.20871366628742,0.49989920499865226,0.4998992049984249,0.9997984099970771,0.4998992049984296,0.4998992049984296,0.9997984099968592,113.97764892169022,113.97764892168625,119.99824883496787,113.97764892168635,113.97764892168635,119.99824883496598,-1.8900436771218665e-12,-3.865352482534945e-12,9.947598300641403e-14,-2.654175496807219e-05,-2.653988097914662e-05
188.36490894898074,0.49989941882500744,0.49989941882568956,0.999798837650697,0.49989941882523653,0.49989941882523653,0.9997988376504731,113.97765263698263,113.97765263699448,119.99825255026819,113.9776526369866,113.9776526369866,119.99825255026623,-1.9610979506978765e-12,3.979039320256561e-12,-7.87281351222191e-12,-2.684682394551593e-05,-2.6847211105542883e-05
190.54607179632544,0.49989963763283574,0.4998996376326652,0.9997992752655009,0.49989963763289974,0.49989963763289974,0.9997992752657995,113.97765643882789,113.97765643882492,119.99825635210601,113.97765643882899,113.97765643882899,119.99825635210861,2.6005864128819667e-12,1.0942358130705543e-12,4.064304448547773e-12,-2.715738705019777e-05,-2.7158100396518007e-05
192.75249131909433,0.4998998615375859,0.4998998615375291,0.999799723075115,0.49989986153744637,0.49989986153744637,0.9997997230748927,113.97766032923181,113.97766032923082,119.99826024251094,113.97766032922938,113.97766032922938,119.998260242509,-1.9326762412674725e-12,-2.4300561562995426e-12,-1.4352963262354024e-12,-2.7472274802195902e-05,-2.7472590080959536e-05
194.9844599758053,0.4999000906578337,0.4999000906572084,0.9998001813150421,0.49990009065760843,0.49990009065760843,0.9998001813152169,113.97766431025458,113.97766431024371,119.99826422352876,113.97766431025067,113.97766431025067,119.9982642235303,1.5347723092418164e-12,-3.907985046680551e-12,6.963318810448982e-12,-2.7792794267008478e-05,-2.7790721865974446e-05
197.24227361148616,0.49990032511510996,0.49990032511471205,0.999800650229822,0.4999003251148822,0.4999003251148822,0.9998006502297644,113.97766838400769,113.97766838400076,119.99826829728386,113.97766838400374,113.97766838400374,119.99826829728336,-4.973799150320701e-13,-3.950617610826157e-12,2.9700686354772188e-12,-2.8114015137153587e-05,-2.8112537941924463e-05
199.52623149688876,0.49990056503356084,0.49990056503356084,0.9998011300671217,0.49990056503359565,0.49990056503359565,0.9998011300671913,113.97767255264809,113.97767255264809,119.99827246592771,113.97767255264868,113.97767255264868,119.99827246592831,5.968558980384842e-13,5.968558980384842e-13,5.968558980384842e-13,-2.8437777902049456e-05,-2.8438080988355502e-05
201.83663636815692,0.4999008105408568,0.49990081054119784,0.9998016210820546,0.49990081054097296,0.49990081054097296,0.9998016210819459,113.97767681839392,113.97767681839983,119.9982767316765,113.97767681839593,113.97767681839593,119.99827673167556,-9.379164112033322e-13,2.0179413695586845e-12,-3.893774191965349e-12,-2.8767130777731994e-05,-2.8767394179814807e-05
204.17379446695375,0.4999010617665439,0.49990106176643023,0.9998021235329742,0.49990106176720195,0.49990106176720195,0.9998021235344039,113.97768118349595,113.97768118349397,119.99828109677459,113.97768118350739,113.97768118350739,119.99828109678701,1.2420287021086551e-11,1.1439738045737613e-11,1.3415046851150692e-11,-2.9100641237445334e-05,-2.9100521191270144e-05
206.5380155810538,0.4999013188455683,0.4999013188448862,0.9998026376904545,0.4999013188455032,0.4999013188455032,0.9998026376910064,113.97768565029875,113.9776856502869,119.99828556357244,113.97768565029762,113.97768565029762,119.99828556357724,4.803268893738277e-12,-1.1368683772161603e-12,1.071498445526231e-11,-2.9438400466375544e-05,-2.943750620396982e-05
208.92961308540487,0.49990158191219436,0.49990158191191014,0.9998031638241045,0.49990158191220185,0.49990158191220185,0.9998031638244037,113.97769022113502,113.97769022113009,119.99829013441216,113.97769022113515,113.97769022113515,119.99829013441477,2.6147972675971687e-12,1.2789769243681803e-13,5.059064278611913e-12,-2.9780314784108457e-05,-2.9778393911730473e-05
211.34890398366562,0.4999018511071094,0.4999018511059157,0.9998037022130251,0.4999018511067983,0.4999018511067983,0.9998037022135966,113.97769489844906,113.97769489842833,119.99829481171831,113.97769489844366,113.97769489844366,119.99829481172328,4.973799150320701e-12,-5.4001247917767614e-12,1.5333512237702962e-11,-3.0123798500982647e-05,-3.012322952640553e-05
213.79620895022416,0.49990212657242206,0.4999021265725926,0.9998042531450146,0.4999021265720433,0.4999021265720433,0.9998042531440866,113.97769968470989,113.97769968471286,119.998299597991,113.97769968470331,113.97769968470331,119.99829959798292,-8.071765478234738e-12,-6.579625733138528e-12,-9.549694368615746e-12,-3.047186398990073e-05,-3.0472058784144316e-05
216.27185237270302,0.4999024084536514,0.4999024084541629,0.9998048169078142,0.49990240845401307,0.49990240845401307,0.9998048169080261,113.97770458244572,113.9777045824546,119.9983044957298,113.97770458245202,113.97770458245202,119.99830449573165,1.8474111129762605e-12,6.295408638834488e-12,-2.5863755581667647e-12,-3.082367566646071e-05,-3.082492795147088e-05
