frequency_Hz,I_HOT_abs_A,I_RTN_abs_A,I_CM_abs_A,I_HOT_dBuA,I_RTN_dBuA,I_CM_dBuA,I_HOT_real_A,I_HOT_imag_A,I_RTN_real_A,I_RTN_imag_A,I_CM_real_A,I_CM_imag_A,I_HOT_phase_deg,I_RTN_phase_deg,I_CM_phase_deg
1.819700858609982674e+02,4.998987918364189431e-01,4.998987918364189431e-01,9.997975836728378862e-01,1.139776417428769406e+02,1.139776417428769406e+02,1.199982416561565657e+02,4.998987918363677618e-01,-2.262861773165465875e-07,4.998987918363677618e-01,-2.262861773165465875e-07,9.997975836727355237e-01,-4.525723546330931751e-07,-2.593573566112986477e-05,-2.593573566112986477e-05,-2.593573566112986477e-05
1.840772001468956205e+02,4.998989960390922138e-01,4.998989960390922138e-01,9.997979920781844276e-01,1.139776452909581792e+02,1.139776452909581792e+02,1.199982452042378043e+02,4.998989960390398113e-01,-2.289066453929921414e-07,4.998989960390398113e-01,-2.289066453929921414e-07,9.997979920780796226e-01,-4.578132907859842829e-07,-2.623606926086131236e-05,-2.623606926086131236e-05,-2.623606926086131236e-05
1.862087136662867408e+02,4.998992049984296027e-01,4.998992049984296027e-01,9.997984099968592053e-01,1.139776489216863524e+02,1.139776489216863524e+02,1.199982488349659775e+02,4.998992049983759789e-01,-2.315574640047507456e-07,4.998992049983759789e-01,-2.315574640047507456e-07,9.997984099967519578e-01,-4.631149280095014912e-07,-2.653988097914028002e-05,-2.653988097914028002e-05,-2.653988097914028002e-05
1.883649089489800019e+02,4.998994188252365301e-01,4.998994188252365301e-01,9.997988376504730601e-01,1.139776526369866048e+02,1.139776526369866048e+02,1.199982525502662298e+02,4.998994188251816850e-01,-2.342389848396097677e-07,4.998994188251816850e-01,-2.342389848396097677e-07,9.997988376503633701e-01,-4.684779696792195354e-07,-2.684721110554224609e-05,-2.684721110554224609e-05,-2.684721110554224609e-05
1.905460717963248385e+02,4.998996376328996849e-01,4.998996376328996849e-01,9.997992752657993698e-01,1.139776564388289870e+02,1.139776564388289870e+02,1.199982563521086121e+02,4.998996376328435076e-01,-2.369515636647502587e-07,4.998996376328435076e-01,-2.369515636647502587e-07,9.997992752656870152e-01,-4.739031273295005175e-07,-2.715810039651573996e-05,-2.715810039651573996e-05,-2.715810039651573996e-05
1.927524913190936502e+02,4.998998615374463661e-01,4.998998615374463661e-01,9.997997230748927322e-01,1.139776603292293800e+02,1.139776603292293800e+02,1.199982602425090050e+02,4.998998615373889676e-01,-2.396955603756397857e-07,4.998998615373889676e-01,-2.396955603756397857e-07,9.997997230747779351e-01,-4.793911207512795713e-07,-2.747259008096193105e-05,-2.747259008096193105e-05,-2.747259008096193105e-05
1.949844599758045547e+02,4.999000906576084868e-01,4.999000906576084868e-01,9.998001813152169737e-01,1.139776643102506739e+02,1.139776643102506739e+02,1.199982642235302990e+02,4.999000906575496450e-01,-2.424713390464634762e-07,4.999000906575496450e-01,-2.424713390464634762e-07,9.998001813150992900e-01,-4.849426780929269524e-07,-2.779072186598952312e-05,-2.779072186598952312e-05,-2.779072186598952312e-05
1.972422736114853308e+02,4.999003251148822491e-01,4.999003251148822491e-01,9.998006502297644982e-01,1.139776683840037350e+02,1.139776683840037350e+02,1.199982682972833601e+02,4.999003251148220750e-01,-2.452792679739158073e-07,4.999003251148220750e-01,-2.452792679739158073e-07,9.998006502296441500e-01,-4.905585359478316146e-07,-2.811253794190801008e-05,-2.811253794190801008e-05,-2.811253794190801008e-05
1.995262314968878741e+02,4.999005650335958673e-01,4.999005650335958673e-01,9.998011300671917345e-01,1.139776725526486842e+02,1.139776725526486842e+02,1.199982724659283093e+02,4.999005650335343609e-01,-2.481197197311585364e-07,4.999005650335343609e-01,-2.481197197311585364e-07,9.998011300670687218e-01,-4.962394394623170728e-07,-2.843808098838500247e-05,-2.843808098838500247e-05,-2.843808098838500247e-05
2.018366363681561779e+02,4.999008105409731284e-01,4.999008105409731284e-01,9.998016210819462568e-01,1.139776768183959490e+02,1.139776768183959490e+02,1.199982767316755741e+02,4.999008105409101788e-01,-2.509930712151047274e-07,4.999008105409101788e-01,-2.509930712151047274e-07,9.998016210818203575e-01,-5.019861424302094549e-07,-2.876739417983784625e-05,-2.876739417983784625e-05,-2.876739417983784625e-05
2.041737944669529554e+02,4.999010617672019485e-01,4.999010617672019485e-01,9.998021235344038971e-01,1.139776811835073858e+02,1.139776811835073858e+02,1.199982810967870108e+02,4.999010617671374446e-01,-2.538997036975068018e-07,4.999010617671374446e-01,-2.538997036975068018e-07,9.998021235342748891e-01,-5.077994073950136037e-07,-2.910052119126014901e-05,-2.910052119126014901e-05,-2.910052119126014901e-05
2.065380155810529175e+02,4.999013188455033174e-01,4.999013188455033174e-01,9.998026376910066348e-01,1.139776856502976159e+02,1.139776856502976159e+02,1.199982855635772410e+02,4.999013188454373702e-01,-2.568400028752709839e-07,4.999013188454373702e-01,-2.568400028752709839e-07,9.998026376908747404e-01,-5.136800057505419677e-07,-2.943750620395862229e-05,-2.943750620395862229e-05,-2.943750620395862229e-05
2.089296130854038722e+02,4.999015819122017978e-01,4.999015819122017978e-01,9.998031638244035957e-01,1.139776902211351484e+02,1.139776902211351484e+02,1.199982901344147734e+02,4.999015819121342963e-01,-2.598143589248740853e-07,4.999015819121342963e-01,-2.598143589248740853e-07,9.998031638242685926e-01,-5.196287178497481705e-07,-2.977839391175917004e-05,-2.977839391175917004e-05,-2.977839391175917004e-05
2.113489039836647692e+02,4.999018511067984671e-01,4.999018511067984671e-01,9.998037022135969343e-01,1.139776948984436586e+02,1.139776948984436586e+02,1.199982948117232837e+02,4.999018511067294113e-01,-2.628231665496239203e-07,4.999018511067294113e-01,-2.628231665496239203e-07,9.998037022134588225e-01,-5.256463330992478407e-07,-3.012322952639145672e-05,-3.012322952639145672e-05,-3.012322952639145672e-05
2.137962089502232459e+02,4.999021265720433038e-01,4.999021265720433038e-01,9.998042531440866076e-01,1.139776996847033104e+02,1.139776996847033104e+02,1.199982995979829212e+02,4.999021265719725826e-01,-2.658668250380005001e-07,4.999021265719725826e-01,-2.658668250380005001e-07,9.998042531439451652e-01,-5.317336500760010003e-07,-3.047205878414266280e-05,-3.047205878414266280e-05,-3.047205878414266280e-05
