frequency_Hz,I_HOT_abs_A,I_RTN_abs_A,I_NM_abs_A,I_HOT_dBuA,I_RTN_dBuA,I_NM_dBuA,I_NM_phase_deg
2.454708915685031059e+02,9.883259212474579947e-01,9.883259212474579947e-01,9.883259212474579947e-01,1.198980037188353265e+02,1.198980037188353265e+02,1.198980037188353265e+02,-6.673691280071967213e-01
2.483133105295570431e+02,9.883420664336945993e-01,9.883420664336945993e-01,9.883420664336945993e-01,1.198981456094378188e+02,1.198981456094378188e+02,1.198981456094378188e+02,-6.751120635831148187e-01
2.511886431509579722e+02,9.883585880513630073e-01,9.883585880513630073e-01,9.883585880513630073e-01,1.198982908058765275e+02,1.198982908058765275e+02,1.198982908058765275e+02,-6.829451914387881795e-01
2.540972705549306454e+02,9.883754948857316203e-01,9.883754948857316203e-01,9.883754948857316203e-01,1.198984393851909971e+02,1.198984393851909971e+02,1.198984393851909971e+02,-6.908695747152689970e-01
2.570395782768864592e+02,9.883927959275093933e-01,9.883927959275093933e-01,9.883927959275093933e-01,1.198985914262169530e+02,1.198985914262169530e+02,1.198985914262169530e+02,-6.988862895249335905e-01
2.600159563165271948e+02,9.884105003776659792e-01,9.884105003776659792e-01,9.884105003776659792e-01,1.198987470096282664e+02,1.198987470096282664e+02,1.198987470096282664e+02,-7.069964251249123421e-01
2.630267991895381670e+02,9.884286176523733314e-01,9.884286176523733314e-01,9.884286176523733314e-01,1.198989062179798282e+02,1.198989062179798282e+02,1.198989062179798282e+02,-7.152010840934622804e-01
2.660725059798808729e+02,9.884471573880557749e-01,9.884471573880557749e-01,9.884471573880557749e-01,1.198990691357514891e+02,1.198990691357514891e+02,1.198990691357514891e+02,-7.235013825091828332e-01
2.691534803926916766e+02,9.884661294465673098e-01,9.884661294465673098e-01,9.884661294465673098e-01,1.198992358493929373e+02,1.198992358493929373e+02,1.198992358493929373e+02,-7.318984501331958770e-01
2.722701308077912472e+02,9.884855439204858207e-01,9.884855439204858207e-01,9.884855439204858207e-01,1.198994064473697421e+02,1.198994064473697421e+02,1.198994064473697421e+02,-7.403934305943464800e-01
2.754228703338166042e+02,9.885054111385357389e-01,9.885054111385357389e-01,9.885054111385357389e-01,1.198995810202103200e+02,1.198995810202103200e+02,1.198995810202103200e+02,-7.489874815774962835e-01
2.786121168629769613e+02,9.885257416711402678e-01,9.885257416711402678e-01,9.885257416711402678e-01,1.198997596605541816e+02,1.198997596605541816e+02,1.198997596605541816e+02,-7.576817750149752451e-01
2.818382931264454783e+02,9.885465463361003957e-01,9.885465463361003957e-01,9.885465463361003957e-01,1.198999424632012136e+02,1.198999424632012136e+02,1.198999424632012136e+02,-7.664774972812951059e-01
2.851018267503909556e+02,9.885678362044140188e-01,9.885678362044140188e-01,9.885678362044140188e-01,1.199001295251620292e+02,1.199001295251620292e+02,1.199001295251620292e+02,-7.753758493911067085e-01
2.884031503126605571e+02,9.885896226062322878e-01,9.885896226062322878e-01,9.885896226062322878e-01,1.199003209457097228e+02,1.199003209457097228e+02,1.199003209457097228e+02,-7.843780472005955628e-01
2.917427014001165730e+02,9.886119171369543990e-01,9.886119171369543990e-01,9.886119171369543990e-01,1.199005168264325505e+02,1.199005168264325505e+02,1.199005168264325505e+02,-7.934853216123077813e-01
2.951209226666387053e+02,9.886347316634670479e-01,9.886347316634670479e-01,9.886347316634670479e-01,1.199007172712880873e+02,1.199007172712880873e+02,1.199007172712880873e+02,-8.026989187835229522e-01
2.985382618917960258e+02,9.886580783305390918e-01,9.886580783305390918e-01,9.886580783305390918e-01,1.199009223866585359e+02,1.199009223866585359e+02,1.199009223866585359e+02,-8.120201003382354621e-01
3.019951720402016235e+02,9.886819695673613184e-01,9.886819695673613184e-01,9.886819695673613184e-01,1.199011322814073992e+02,1.199011322814073992e+02,1.199011322814073992e+02,-8.214501435828930331e-01
3.054921113215512491e+02,9.887064180942402025e-01,9.887064180942402025e-01,9.887064180942402025e-01,1.199013470669372481e+02,1.199013470669372481e+02,1.199013470669372481e+02,-8.309903417258104330e-01
3.090295432513592004e+02,9.887314369294599725e-01,9.887314369294599725e-01,9.887314369294599725e-01,1.199015668572492928e+02,1.199015668572492928e+02,1.199015668572492928e+02,-8.406420041006605892e-01
3.126079367123955990e+02,9.887570393963007742e-01,9.887570393963007742e-01,9.887570393963007742e-01,1.199017917690038928e+02,1.199017917690038928e+02,1.199017917690038928e+02,-8.504064563937083765e-01
3.162277660168379612e+02,9.887832391302238122e-01,9.887832391302238122e-01,9.887832391302238122e-01,1.199020219215827154e+02,1.199020219215827154e+02,1.199020219215827154e+02,-8.602850408752962252e-01
3.198895109691397352e+02,9.888100500862327946e-01,9.888100500862327946e-01,9.888100500862327946e-01,1.199022574371523433e+02,1.199022574371523433e+02,1.199022574371523433e+02,-8.702791166354592045e-01
3.235936569296280823e+02,9.888374865464084618e-01,9.888374865464084618e-01,9.888374865464084618e-01,1.199024984407293317e+02,1.199024984407293317e+02,1.199024984407293317e+02,-8.803900598237400787e-01
3.273406948788382920e+02,9.888655631276198621e-01,9.888655631276198621e-01,9.888655631276198621e-01,1.199027450602467297e+02,1.199027450602467297e+02,1.199027450602467297e+02,-8.906192638934713468e-01
3.311311214825910838e+02,9.888942947894252544e-01,9.888942947894252544e-01,9.888942947894252544e-01,1.199029974266223206e+02,1.199029974266223206e+02,1.199029974266223206e+02,-9.009681398504537642e-01
3.349654391578275749e+02,9.889236968421567520e-01,9.889236968421567520e-01,9.889236968421567520e-01,1.199032556738283404e+02,1.199032556738283404e+02,1.199032556738283404e+02,-9.114381165063797363e-01
3.388441561392027666e+02,9.889537849552019200e-01,9.889537849552019200e-01,9.889537849552019200e-01,1.199035199389628161e+02,1.199035199389628161e+02,1.199035199389628161e+02,-9.220306407367413470e-01
3.427677865464504521e+02,9.889845751654823269e-01,9.889845751654823269e-01,9.889845751654823269e-01,1.199037903623226669e+02,1.199037903623226669e+02,1.199037903623226669e+02,-9.327471777437554845e-01
3.467368504525316553e+02,9.890160838861338233e-01,9.890160838861338233e-01,9.890160838861338233e-01,1.199040670874784098e+02,1.199040670874784098e+02,1.199040670874784098e+02,-9.435892113241863832e-01
3.507518739525679621e+02,9.890483279153949869e-01,9.890483279153949869e-01,9.890483279153949869e-01,1.199043502613508139e+02,1.199043502613508139e+02,1.199043502613508139e+02,-9.545582441421697206e-01
3.548133892335753217e+02,9.890813244457111741e-01,9.890813244457111741e-01,9.890813244457111741e-01,1.199046400342890593e+02,1.199046400342890593e+02,1.199046400342890593e+02,-9.656557980073602332e-01
3.589219346450053649e+02,9.891150910730525103e-01,9.891150910730525103e-01,9.891150910730525103e-01,1.199049365601509578e+02,1.199049365601509578e+02,1.199049365601509578e+02,-9.768834141583282449e-01
