frequency_Hz,FR_gain_Rs0_dB,FR_gain_Rs50_dB,CM_I_HOT_dBuA,CM_I_RTN_dBuA,CM_I_CM_dBuA,NM_I_HOT_dBuA,NM_I_RTN_dBuA,NM_I_NM_dBuA,CM_I_CM_abs_A,NM_I_NM_abs_A
2.660725059798808729e+02,-1.006895482761585026e-01,-8.973013773345215327e+00,1.139778150834902704e+02,1.139778150834902704e+02,1.199984149967698954e+02,1.198990691357514891e+02,1.198990691357514891e+02,1.198990691357514891e+02,9.998175364080073013e-01,9.884471573880557749e-01
2.691534803926916766e+02,-1.005172135837376080e-01,-8.977138497511257142e+00,1.139778226693072583e+02,1.139778226693072583e+02,1.199984225825868833e+02,1.198992358493929373e+02,1.198992358493929373e+02,1.198992358493929373e+02,9.998184095984896658e-01,9.884661294465673098e-01
2.722701308077912472e+02,-1.003408636211193805e-01,-8.981354970120683845e+00,1.139778304318274991e+02,1.139778304318274991e+02,1.199984303451071241e+02,1.198994064473697421e+02,1.198994064473697421e+02,1.198994064473697421e+02,9.998193031297727407e-01,9.884855439204858207e-01
2.754228703338166042e+02,-1.001604048098142519e-01,-8.985665133349865386e+00,1.139778383751672948e+02,1.139778383751672948e+02,1.199984382884469198e+02,1.198995810202103200e+02,1.198995810202103200e+02,1.198995810202103200e+02,9.998202174757311322e-01,9.885054111385357389e-01
2.786121168629769613e+02,-9.997574138920981013e-02,-8.990070966048316237e+00,1.139778465035387853e+02,1.139778465035387853e+02,1.199984464168184104e+02,1.198997596605541816e+02,1.198997596605541816e+02,1.198997596605541816e+02,9.998211531212770620e-01,9.885257416711402678e-01
2.818382931264454783e+02,-9.978677536565160044e-02,-8.994574484230833278e+00,1.139778548212522793e+02,1.139778548212522793e+02,1.199984547345319044e+02,1.198999424632012136e+02,1.198999424632012136e+02,1.198999424632012136e+02,9.998221105626249328e-01,9.885465463361003957e-01
2.851018267503909556e+02,-9.959340646027570187e-02,-8.999177741566821709e+00,1.139778633327184991e+02,1.139778633327184991e+02,1.199984632459981242e+02,1.199001295251620292e+02,1.199001295251620292e+02,1.199001295251620292e+02,9.998230903075487896e-01,9.885678362044140188e-01
2.884031503126605571e+02,-9.939553205569423566e-02,-9.003882829866139303e+00,1.139778720424508975e+02,1.139778720424508975e+02,1.199984719557305226e+02,1.199003209457097228e+02,1.199003209457097228e+02,1.199003209457097228e+02,9.998240928756556567e-01,9.885896226062322878e-01
2.917427014001165730e+02,-9.919304714137446022e-02,-9.008691879560931426e+00,1.139778809550681018e+02,1.139778809550681018e+02,1.199984808683477269e+02,1.199005168264325505e+02,1.199005168264325505e+02,1.199005168264325505e+02,9.998251187986596511e-01,9.886119171369543990e-01
2.951209226666387053e+02,-9.898584425775536211e-02,-9.013607060182792452e+00,1.139778900752963580e+02,1.139778900752963580e+02,1.199984899885759830e+02,1.199007172712880873e+02,1.199007172712880873e+02,1.199007172712880873e+02,9.998261686206652010e-01,9.886347316634670479e-01
2.985382618917960258e+02,-9.877381343907802591e-02,-9.018630580834644306e+00,1.139778994079719610e+02,1.139778994079719610e+02,1.199984993212515860e+02,1.199009223866585359e+02,1.199009223866585359e+02,1.199009223866585359e+02,9.998272428984533722e-01,9.886580783305390918e-01
