frequency_Hz,I_HOT_abs_A,I_RTN_abs_A,I_CM_abs_A,I_HOT_dBuA,I_RTN_dBuA,I_CM_dBuA,I_CM_phase_deg
3.126079367123955990e+02,4.999158980817861031e-01,4.999158980817861031e-01,9.998317961635722062e-01,1.139779389638737825e+02,1.139779389638737825e+02,1.199985388771534076e+02,-4.455691572196273341e-05
3.162277660168379612e+02,4.999165007684160944e-01,4.999165007684160944e-01,9.998330015368321888e-01,1.139779494353679326e+02,1.139779494353679326e+02,1.199985493486475576e+02,-4.507292100274711504e-05
3.198895109691397352e+02,4.999171174949291752e-01,4.999171174949291752e-01,9.998342349898583503e-01,1.139779601507876521e+02,1.139779601507876521e+02,1.199985600640672772e+02,-4.559490346965147938e-05
3.235936569296280823e+02,4.999177485884267469e-01,4.999177485884267469e-01,9.998354971768534938e-01,1.139779711158152793e+02,1.139779711158152793e+02,1.199985710290948902e+02,-4.612293241021913313e-05
3.273406948788382920e+02,4.999183943836332800e-01,4.999183943836332800e-01,9.998367887672665599e-01,1.139779823362656117e+02,1.139779823362656117e+02,1.199985822495452368e+02,-4.665707791647968916e-05
3.311311214825910838e+02,4.999190552230738382e-01,4.999190552230738382e-01,9.998381104461476765e-01,1.139779938180888905e+02,1.139779938180888905e+02,1.199985937313685156e+02,-4.719741089520303044e-05
3.349654391578275749e+02,4.999197314572548234e-01,4.999197314572548234e-01,9.998394629145096468e-01,1.139780055673739554e+02,1.139780055673739554e+02,1.199986054806535805e+02,-4.774400307678553954e-05
3.388441561392027666e+02,4.999204234448516582e-01,4.999204234448516582e-01,9.998408468897033163e-01,1.139780175903515556e+02,1.139780175903515556e+02,1.199986175036311806e+02,-4.829692702514401943e-05
3.427677865464504521e+02,4.999211315528974686e-01,4.999211315528974686e-01,9.998422631057949372e-01,1.139780298933975899e+02,1.139780298933975899e+02,1.199986298066772150e+02,-4.885625614767684155e-05
3.467368504525316553e+02,4.999218561569798713e-01,4.999218561569798713e-01,9.998437123139597427e-01,1.139780424830365035e+02,1.139780424830365035e+02,1.199986423963161286e+02,-4.942206470455759134e-05
